Japanese	English
×　c2820_不死人（クラグ信者）_右手で殴る２	× 2 to hit people in c2820_ immortality ( crag believer ) _ right
×　c2820_不死人（クラグ信者）_右手で強攻撃	× The strength attack c2820_ immortal person in ( crag believer ) _ right
×　c2820_不死人（クラグ信者）_右手でなぎ払う	× I Nagiharau c2820_ immortal person in ( crag believer ) _ right
×　c2820_不死人（クラグ信者）_右手で遠くを殴る１	× 1 , which hit the far c2820_ immortality in people ( believers crag ) _ right
×　c2820_不死人（クラグ信者）_右手で遠くを殴る２	× 2 , which hit the far c2820_ immortality in people ( believers crag ) _ right
×　c2820_不死人（クラグ信者）_飛び掛り（短距離）	× c2820_ immortality who pounce ( crag believers ) _ ( short-range )
×　c2820_不死人（クラグ信者）_飛び掛り（中距離）	× c2820_ immortality who pounce ( crag believers ) _ ( middle distance )
×　c2820_不死人（クラグ信者）_飛び掛り（遠距離）	× c2820_ immortality who pounce ( crag believers ) _ ( long distance )
×　c2820_不死人（クラグ信者）_背中の触手で攻撃	× attack tentacles c2820_ immortality people ( believers crag ) _ back
c2830_不死人ファランクス_突き１	c2830_ immortality who Phalanx _ thrust 1
c2830_不死人ファランクス_突き２	c2830_ immortality who Phalanx _ thrust 2
c2830_不死人ファランクス_槍投げ	c2830_ immortality who Phalanx _ javelin
c2830_不死人ファランクス_槍払い	c2830_ immortality who Phalanx _ spear pay
c2830_不死人ファランクス_ガード	c2830_ immortality who Phalanx _ guard
c2840_不死人（鬱血）_たいまつを振る１	1 shake c2840_ immortality who the ( congestion ) _ torch
c2840_不死人（鬱血）_たいまつを振る２	2 shake c2840_ immortality who the ( congestion ) _ torch
c2840_不死人（鬱血）_たいまつを突き出す	I shove c2840_ immortality who the ( congestion ) _ torch
c2840_不死人（鬱血）_たいまつを横振り１	Horizontal swing 1 ( congestion ) _ torch c2840_ immortality who
c2840_不死人（鬱血）_たいまつを横振り２	Horizontal swing 2 ( congestive ) _ torch c2840_ immortality who
c2840_不死人（鬱血）_２、３歩踏み込んで振る	The shake is depressed ( congestion ) _2 , three steps c2840_ immortality who
c2840_不死人（鬱血）_血の毒霧を吐く	I spit poison fog c2840_ immortality people ( congestion ) _ blood
c2840_不死人（鬱血）_右パンチ	c2840_ immortal person ( congestion ) _ right punch
c2840_不死人（鬱血）_左パンチ	c2840_ immortal person ( congestion ) _ left punch
c2840_不死人（鬱血）_右パンチ（強）	c2840_ immortal person ( congestion ) _ right punch ( strong)
c2840_不死人（鬱血）_死亡時毒血大量噴出	blood poisoning mass ejection c2840_ immortal person ( congestion ) _ the time of death
c2840_不死人（鬱血）_呪術１	c2840_ immortal person ( congestion ) _ magic 1
c2840_不死人（鬱血）_呪術２	c2840_ immortal person ( congestion ) _ magic 2
c2860_巨人奴隷_右フック	c2860_ giant slave _ right hook
c2860_巨人奴隷_右手で叩き潰す	I crush in c2860_ giant slave _ right
c2860_巨人奴隷_思い切り殴る	I hit rock out c2860_ giant slave _
c2860_巨人奴隷_連続で殴る(右手)	The beat in c2860_ giant slave _ Continuous ( right hand )
c2860_巨人奴隷_連続で殴る(左手)	The beat in c2860_ giant slave _ Continuous ( left hand )
c2860_巨人奴隷_前蹴り	The kick c2860_ giant slave _ before
c2860_巨人奴隷_連続で踏みつける(右足)	stomp in c2860_ giant slave _ Continuous ( right foot )
c2860_巨人奴隷_連続で踏みつける(左足)	stomp in c2860_ giant slave _ Continuous ( left foot )
c2860_巨人奴隷_怒って大暴れ(右手)	c2860_ giant slave _ mad rampage ( right hand )
c2860_巨人奴隷_怒って大暴れ(左手)	c2860_ giant slave _ mad rampage ( left hand )
c2860_巨人奴隷_怒って大暴れ(右足)	c2860_ giant slave _ mad rampage ( right foot )
c2860_巨人奴隷_怒って大暴れ(左足)	c2860_ giant slave _ mad rampage ( left foot )
c2860_巨人奴隷_投擲１	c2860_ giant slave _ throwing one
c2860_巨人奴隷_投擲２	c2860_ giant slave _ throwing two
c2860_巨人奴隷_投擲３	c2860_ giant slave _ throwing three
c2870_巨人（衛兵）_近距離・払い１	c2870_ giant ( guard ) _ short distance , one -payment
c2870_巨人（衛兵）_近距離・払い２	c2870_ giant ( guard ) _ short-range - 2 -payment
c2870_巨人（衛兵）_突き	c2870_ giant ( guard ) _ thrust
c2870_巨人（衛兵）_近距離・突きからの払い	pay c2870_ giants from ( guard ) _ short-range collision - care
c2870_巨人（衛兵）_遠距離・払い１	c2870_ giant ( guard ) _ a long communication range and 1 -payment
c2870_巨人（衛兵）_遠距離・払い２	c2870_ giant ( guard ) _ a long communication range and 2 -payment
c2870_巨人（衛兵）_遠距離・突き	c2870_ giant to come ( guard ) _ a long communication range and impact
c2870_巨人（衛兵）_遠距離・突きからの払い	pay c2870_ giants from ( guard ) _ a long communication range and impact care
c2870_巨人（衛兵）_思いきり振り下ろす	swinging down with all one's might ( guard ) _ c2870_ giant
c2870_巨人（衛兵）_盾で押しつぶす（弱）	The crush c2870_ giant in ( guard ) _ shield ( weak )
c2870_巨人（衛兵）_盾で押しつぶす（弱）_爆風	The crush c2870_ giant in ( guard ) _ shield ( weak) _ blast
c2870_巨人（衛兵）_盾で押しつぶす（強）	The crush c2870_ giant in ( guard ) _ shield ( strong)
c2870_巨人（衛兵）_盾で押しつぶす（強）_爆風	The crush c2870_ giant in ( guard ) _ shield ( strong) _ blast
c2870_巨人（衛兵）_奇跡・神の怒り	anger c2870_ giant ( guard ) _ miracle - God
c2870_巨人（衛兵）_奇跡・大回復	c2870_ giant ( guard ) _ miracle and large recovery
c2870_巨人（衛兵）_近距離・払い１【上攻撃用】	c2870_ giant ( guard ) _ -payment , short-range [ 1 ] on the attack
c2870_巨人（衛兵）_近距離・払い２【上攻撃用】	c2870_ giant ( guard ) _ -payment , short-range two [ top offensive ]
c2870_巨人（衛兵）_突き【上攻撃用】	c2870_ giant ( guard ) _ pick up [ attack ]
c2870_巨人（衛兵）_近距離・突きからの払い【上攻撃用】	pay c2870_ giants from ( guard ) _ a short communication range and impact on care [ attack ]
c2870_巨人（衛兵）_遠距離・払い１【上攻撃用】	c2870_ giant ( guard ) _ a long communication range and 1 -payment [ top ] Attack
c2870_巨人（衛兵）_遠距離・払い２【上攻撃用】	c2870_ giant ( guard ) _ a long communication range and 2 -payment [ top offensive ]
c2870_巨人（衛兵）_遠距離・突き【上攻撃用】	c2870_ giant to come ( guard ) _ a long communication range and impact [ on the attack ]
c2870_巨人（衛兵）_遠距離・突きからの払い【上攻撃用】	pay c2870_ giants from ( guard ) _ a long communication range and impact on care [ attack ]
c2870_巨人（衛兵）_思いきり振り下ろす【上攻撃用】	swinging down with all one's might ( guard ) _ c2870_ giant [ top offensive ]
c2870_巨人（衛兵）_盾で押しつぶす（弱）【上攻撃用】	The crush c2870_ giant in ( guard ) _ shield ( weak) [ top ] attack
c2870_巨人（衛兵）_盾で押しつぶす（弱）_爆風【上攻撃用】	The crush c2870_ giant in ( guard ) _ shield ( weak) _ blast [ top offensive ]
c2870_巨人（衛兵）_盾で押しつぶす（強）【上攻撃用】	The crush c2870_ giant in ( guard ) _ shield ( strong) [ top ] attack
c2870_巨人（衛兵）_盾で押しつぶす（強）_爆風【上攻撃用】	The crush c2870_ giant in ( guard ) _ shield ( strong) _ blast [ top offensive ]
c2870_巨人（衛兵）_近距離・払い１【下攻撃用】	c2870_ giant ( guard ) _ -payment , short-range [ 1 ] under attack for
c2870_巨人（衛兵）_近距離・払い２【下攻撃用】	c2870_ giant ( guard ) _ -payment , short-range [ 2 ] under attack
c2870_巨人（衛兵）_突き【下攻撃用】	c2870_ giant ( guard ) _ thrust under attack [ use]
c2870_巨人（衛兵）_近距離・突きからの払い【下攻撃用】	pay c2870_ giants from ( guard ) _ a short communication range and collision care under attack [ use]
c2870_巨人（衛兵）_遠距離・払い１【下攻撃用】	c2870_ giant ( guard ) _ a long communication range and 1 -payment under attack [ use]
c2870_巨人（衛兵）_遠距離・払い２【下攻撃用】	c2870_ giant ( guard ) _ a long communication range and 2 -payment under attack [ use]
c2870_巨人（衛兵）_遠距離・突き【下攻撃用】	c2870_ giant to come ( guard ) _ a long communication range and impact under attack [ use]
c2870_巨人（衛兵）_遠距離・突きからの払い【下攻撃用】	pay c2870_ giants from ( guard ) _ a long communication range and collision care under attack [ use]
c2870_巨人（衛兵）_思いきり振り下ろす【上攻撃用】	swinging down with all one's might ( guard ) _ c2870_ giant [ top offensive ]
c2870_巨人（衛兵）_盾で押しつぶす（弱）【下攻撃用】	The crush c2870_ giant in ( guard ) _ shield ( weak) [ under attack ]
c2870_巨人（衛兵）_盾で押しつぶす（弱）_爆風【下攻撃用】	The crush c2870_ giant in ( guard ) _ shield ( weak) _ blast [ under attack ]
c2870_巨人（衛兵）_盾で押しつぶす（強）【下攻撃用】	The crush c2870_ giant in ( guard ) _ shield ( strength ) under attack ]
c2870_巨人（衛兵）_盾で押しつぶす（強）_爆風【下攻撃用】	The crush c2870_ giant in ( guard ) _ shield ( strong) _ blast [ under attack ]
c2870_巨人（衛兵）下位版_近距離・払い１	c2870_ giant ( guard ) Lower short-range version of _ - 1 -payment
c2870_巨人（衛兵）下位版_近距離・払い２	c2870_ giant ( guard ) Lower short-range version _ - 2 -payment
c2870_巨人（衛兵）下位版_突き	c2870_ giant ( guard ) Lower version _ thrust
c2870_巨人（衛兵）下位版_近距離・突きからの払い	pay c2870_ giants from ( guard ) Lower short-range version _ - collision care
c2870_巨人（衛兵）下位版_遠距離・払い１	c2870_ giant ( guard ) Lower version _ a long communication range and 1 -payment
c2870_巨人（衛兵）下位版_遠距離・払い２	c2870_ giant ( guard ) Lower version _ a long communication range and 2 -payment
c2870_巨人（衛兵）下位版_遠距離・突き	c2870_ giant to come ( guard ) Lower version _ a long communication range and impact
c2870_巨人（衛兵）下位版_遠距離・突きからの払い	pay c2870_ giants from ( guard ) Lower version _ a long communication range and impact care
c2870_巨人（衛兵）下位版_思いきり振り下ろす	swinging down with all one's might ( guard ) Lower version _ c2870_ giant
c2870_巨人（衛兵）下位版_盾で押しつぶす（弱）	c2870_ giant crush in ( guard ) Lower version _ shield ( weak )
c2870_巨人（衛兵）下位版_盾で押しつぶす（弱）_爆風	The crush c2870_ giant in ( guard ) Lower version _ shield ( weak) _ blast
c2870_巨人（衛兵）下位版_盾で押しつぶす（強）	The crush c2870_ giant in ( guard ) Lower version _ shield ( strong)
c2870_巨人（衛兵）下位版_盾で押しつぶす（強）_爆風	The crush c2870_ giant in ( guard ) Lower version _ shield ( strong) _ blast
c2870_巨人（衛兵）下位版_近距離・払い１【上攻撃用】	c2870_ giant ( guard ) Lower short-range version of _ - 1 -payment [ top ] Attack
c2870_巨人（衛兵）下位版_近距離・払い２【上攻撃用】	c2870_ giant ( guard ) Lower short-range version - _ -payment [ 2 ] on the offensive
c2870_巨人（衛兵）下位版_突き【上攻撃用】	c2870_ giant ( guard ) Lower version _ pick up [ attack ]
c2870_巨人（衛兵）下位版_近距離・突きからの払い【上攻撃用】	pay c2870_ giants from ( guard ) Lower short-range version _ - collision care [ top offensive ]
c2870_巨人（衛兵）下位版_遠距離・払い１【上攻撃用】	c2870_ giant ( guard ) Lower version _ a long communication range and 1 -payment [ top ] Attack
c2870_巨人（衛兵）下位版_遠距離・払い２【上攻撃用】	c2870_ giant ( guard ) Lower version _ a long communication range and 2 -payment [ top offensive ]
c2870_巨人（衛兵）下位版_遠距離・突き【上攻撃用】	c2870_ giant come ( guard ) Lower version _ a long communication range and impact [ on the attack ]
c2870_巨人（衛兵）下位版_遠距離・突きからの払い【上攻撃用】	pay c2870_ giants from ( guard ) Lower version _ a long communication range and impact on care [ attack ]
c2870_巨人（衛兵）下位版_思いきり振り下ろす【上攻撃用】	swinging down with all one's might ( guard ) Lower version _ c2870_ giant [ top offensive ]
c2870_巨人（衛兵）下位版_盾で押しつぶす（弱）【上攻撃用】	The crush c2870_ giant in ( guard ) Lower version _ shield ( weak) [ top ] attack
c2870_巨人（衛兵）下位版_盾で押しつぶす（弱）_爆風【上攻撃用】	The crush c2870_ giant in ( guard ) Lower version _ shield ( weak) _ blast [ top offensive ]
c2870_巨人（衛兵）下位版_盾で押しつぶす（強）【上攻撃用】	The crush c2870_ giant in ( guard ) Lower version _ shield ( strong) [ top ] attack
c2870_巨人（衛兵）下位版_盾で押しつぶす（強）_爆風【上攻撃用】	The crush c2870_ giant in ( guard ) Lower version _ shield ( strong) _ blast [ top offensive ]
c2870_巨人（衛兵）下位版_近距離・払い１【下攻撃用】	c2870_ giant ( guard ) Lower short-range version of _ - 1 -payment under attack [ use]
c2870_巨人（衛兵）下位版_近距離・払い２【下攻撃用】	c2870_ giant ( guard ) Lower short-range version - _ -payment [ 2 ] under attack
c2870_巨人（衛兵）下位版_突き【下攻撃用】	c2870_ giant ( guard ) Lower version _ thrust under attack [ use]
c2870_巨人（衛兵）下位版_近距離・突きからの払い【下攻撃用】	pay c2870_ giants from ( guard ) Lower short-range version _ - collision care under attack [ use]
c2870_巨人（衛兵）下位版_遠距離・払い１【下攻撃用】	c2870_ giant ( guard ) Lower version _ a long communication range and 1 -payment under attack [ use]
c2870_巨人（衛兵）下位版_遠距離・払い２【下攻撃用】	c2870_ giant ( guard ) Lower version _ a long communication range and 2 -payment under attack [ use]
c2870_巨人（衛兵）下位版_遠距離・突き【下攻撃用】	c2870_ giant come ( guard ) Lower version _ a long communication range and impact under attack [ use]
c2870_巨人（衛兵）下位版_遠距離・突きからの払い【下攻撃用】	pay c2870_ giants from ( guard ) Lower version _ a long communication range and collision care under attack [ use]
c2870_巨人（衛兵）下位版_思いきり振り下ろす【上攻撃用】	swinging down with all one's might ( guard ) Lower version _ c2870_ giant [ top offensive ]
c2870_巨人（衛兵）下位版_盾で押しつぶす（弱）【下攻撃用】	The crush c2870_ giant in ( guard ) Lower version _ shield ( weak) [ under attack ]
c2870_巨人（衛兵）下位版_盾で押しつぶす（弱）_爆風【下攻撃用】	The crush c2870_ giant in ( guard ) Lower version _ shield ( weak) _ blast [ under attack ]
c2870_巨人（衛兵）下位版_盾で押しつぶす（強）【下攻撃用】	The crush c2870_ giant in ( guard ) Lower version _ shield ( strength ) under attack ]
c2870_巨人（衛兵）下位版_盾で押しつぶす（強）_爆風【下攻撃用】	The crush c2870_ giant in ( guard ) Lower version _ shield ( strong) _ blast [ under attack ]
c2900_スケルトン_曲剣_斬撃1	c2900_ skeleton _ music _ slashing sword 1
c2900_スケルトン_曲剣_斬撃2	c2900_ skeleton _ music _ slashing sword 2
c2900_スケルトン_曲剣_斬撃3	c2900_ skeleton _ music _ slashing sword 3
c2900_スケルトン_曲剣_強斬り	The sword and strength c2900_ skeleton sword song _ _
c2900_スケルトン_曲剣_回転斬り	sword c2900_ skeleton _ music _ Ken rotation
c2900_スケルトン_曲剣_バックステップ斬り	sword c2900_ skeleton _ music _ sword back step
c2900_スケルトン_曲剣_飛び込み攻撃	c2900_ skeleton _ music _ sword jump attack
c2900_スケルトン_曲剣_飛び込み攻撃(遠距離)	c2900_ skeleton _ music _ sword jump attack ( long distance )
c2900_スケルトン_曲剣　助走斬り_１段目	_1 -stage sword c2900_ skeleton _ song sword run-up
c2900_スケルトン_曲剣　助走斬り_２段目	_2 stage sword c2900_ skeleton _ song sword run-up
c2900_スケルトン_弓_射撃	c2900_ skeleton _ _ bow shooting
c2900_スケルトン_大曲剣_斬撃1	c2900_ skeleton _ Oomagari sword slashing _ 1
c2900_スケルトン_大曲剣_斬撃2	c2900_ skeleton _ Oomagari sword slashing _ 2
c2900_スケルトン_大曲剣_斬撃3	c2900_ skeleton _ Oomagari sword slashing _ 3
c2900_スケルトン_大曲剣_強斬り	The sword strength c2900_ skeleton _ Oomagari sword _
c2900_スケルトン_大曲剣_なぎ払い①	① Cleave c2900_ skeleton _ Oomagari sword _
c2900_スケルトン_大曲剣_なぎ払い②	② Cleave c2900_ skeleton _ Oomagari sword _
c2900_スケルトン_大曲剣_飛び込み攻撃	c2900_ skeleton _ Oomagari sword _ jump attack
c2900_スケルトン_大曲剣_飛び込み攻撃(遠距離)	c2900_ skeleton _ Oomagari sword _ jump attack ( long distance )
c2900_スケルトン_大曲剣　助走斬り_１段目	_1 -stage sword c2900_ skeleton _ Oomagari sword run-up
c2900_スケルトン_大曲剣　助走斬り_２段目	_2 stage sword c2900_ skeleton _ Oomagari sword run-up
c2900_スケルトン_ローリング	c2900_ skeleton _ rolling
c2900_スケルトン_ガード	c2900_ skeleton _ guard
c2900_スケルトン_ガード（パリィ用）	c2900_ skeleton _ guard ( for Parry )
c2900_スケルトン_パリィ投げ	throw c2900_ skeleton _ Parry
c2900_スケルトン_パリィ	c2900_ skeleton _ Parry
c2910_スケルトン（大）_斬撃Ａ	c2910_ skeleton ( large ) _ A slashing
c2910_スケルトン（大）_斬撃Ｂ	c2910_ skeleton ( large ) _ slashing B
c2910_スケルトン（大）_踏み込み斬り	The sword c2910_ skeleton ( large ) _ depression
c2910_スケルトン（大）_薙ぎ払いA	A c2910_ skeleton Cleave ( large ) _
c2910_スケルトン（大）_薙ぎ払いB	B c2910_ skeleton Cleave ( large ) _
c2910_スケルトン（大）_溜め振り下ろし	c2910_ skeletons swung down reservoir ( large ) _
c2910_スケルトン（大）_前蹴り	The kick c2910_ skeleton ( large ) _ before
c2910_スケルトン（大）_大弓射撃	c2910_ skeleton ( large ) _ longbow shooting
c2910_スケルトン（大）_ガード	c2910_ skeleton ( large ) _ guard
c2910_スケルトン（大）_棺投げ	c2910_ skeleton Throw ( large ) _ coffin
c2920_骨太スケルトン_斧　弱攻撃１	c2920_ boned skeleton _ ax attack a little less than one
c2920_骨太スケルトン_斧　弱攻撃２	c2920_ boned skeleton _ ax attack a little less than 2
c2920_骨太スケルトン_斧　弱攻撃３	c2920_ boned skeleton _ ax attack a little less than 3
c2920_骨太スケルトン_斧　強攻撃	c2920_ boned skeleton _ ax over attack
c2920_骨太スケルトン_斧　飛び込み攻撃	c2920_ boned skeleton _ ax jump attack
c2920_骨太スケルトン_斧　１回転攻撃	1 rotation attack c2920_ boned skeleton _ ax
c2920_骨太スケルトン_斧　前方ローリング＋攻撃	c2920_ boned skeleton _ ax rolling forward + attack
c2920_骨太スケルトン_前蹴り	The kick c2920_ boned skeleton _ before
×　c2920_骨太スケルトン_ピッケル　弱攻撃１	× c2920_ boned skeleton _ ice ax attack a little less than one
×　c2920_骨太スケルトン_ピッケル　弱攻撃２	× c2920_ boned skeleton _ ice ax attack a little less than 2
×　c2920_骨太スケルトン_ピッケル　両手攻撃１	× c2920_ boned skeleton _ ice ax attack both hands 1
×　c2920_骨太スケルトン_ピッケル　両手攻撃２	× c2920_ boned skeleton _ ice ax attack both hands 2
×　c2920_骨太スケルトン_ピッケル　飛び込み攻撃	× c2920_ boned skeleton _ ice ax jump attack
×　c2920_骨太スケルトン_ピッケル　１回転攻撃	× 1 rotation attack c2920_ boned skeleton _ ice ax
c2920_骨太スケルトン_ガード	c2920_ boned skeleton _ guard
c2930_車輪スケルトン_手で殴る（右手）	The beat in c2930_ wheel skeleton _ hand ( right hand )
c2930_車輪スケルトン_手で殴る（左手）	The beat in c2930_ wheel skeleton _ hand ( left hand )
c2930_車輪スケルトン_ステップ（車輪）	c2930_ wheel skeleton _ step (wheel )
c2940_スケルトン（赤子）_噛みつく	c2940_ skeleton I bite ( baby ) _
c2950_スケルトン（獣）_ひっかく１	c2950_ skeleton ( beast ) _ 1 stroke
c2950_スケルトン（獣）_ひっかく２	c2950_ skeleton ( beast ) _ 2 strokes
c2950_スケルトン（獣）_噛み付く	c2950_ skeleton I bite ( beast ) _
c2950_スケルトン（獣）_狂ったように暴れる	I rage c2950_ skeleton like crazy ( beast ) _
c2950_スケルトン（獣）_飛び掛る（近距離）	c2950_ skeleton pounce ( beast ) _ ( short-range )
c2950_スケルトン（獣）_飛び掛る（遠距離）	c2950_ skeleton pounce ( beast ) _ ( long distance )
c2950_スケルトン（獣）_起き上がって、のしかかる 右手	c2950_ skeleton got up ( beast ) _ , right hand to weigh
c2950_スケルトン（獣）_起き上がって、のしかかる 左手	c2950_ skeleton got up ( beast ) _ , left hand to weigh
c2950_スケルトン（獣）_起き上がって、のしかかる 胴体	c2950_ skeleton got up ( beast ) _ , body to weigh
c2960_トｰテムスケルトン_前に骨を出して攻撃　手AからD	D A hand from attack by issuing the bone to c2960_ totem skeleton _ before
c2960_トｰテムスケルトン_前に骨を出して攻撃　手EからG	G from striker E put out a bone to c2960_ totem skeleton _ before
c2960_トｰテムスケルトン_前に倒れこむ	I fell to the crowded c2960_ totem skeleton _ before
c2960_トｰテムスケルトン_後に骨を出して攻撃　手AからD	D A hand from attack by issuing the bone to c2960_ totem skeleton after __
c2960_トｰテムスケルトン_後に骨を出して攻撃　手EからG	G from striker E put out a bone to c2960_ totem skeleton after __
c2960_トｰテムスケルトン_後に倒れこむ	I fell to the crowded c2960_ totem skeleton after __
c2960_トｰテムスケルトン_右に骨を出して攻撃　手AからD	D A hand from attack by issuing the bone to c2960_ totem skeleton _ right
c2960_トｰテムスケルトン_右に骨を出して攻撃　手EからG	G from striker E put out a bone to c2960_ totem skeleton _ right
c2960_トｰテムスケルトン_右に倒れこむ	I fell to the crowded c2960_ totem skeleton _ right
c2960_トｰテムスケルトン_左に骨を出して攻撃  手AからD	D A hand from attack by issuing the bone to c2960_ totem skeleton _ left
c2960_トｰテムスケルトン_左に骨を出して攻撃  手EからG	G from striker E put out a bone to c2960_ totem skeleton _ left
c2960_トｰテムスケルトン_左に倒れこむ	I fell to the crowded c2960_ totem skeleton _ left
c2960_トｰテムスケルトン_全方向に骨を出して攻撃　手AからD	D A hand from attack by issuing the bone to c2960_ totem skeleton _ all directions
c2960_トｰテムスケルトン_全方向に骨を出して攻撃　手EからH	H from striker E put out a bone to c2960_ totem skeleton _ all directions
c2960_トｰテムスケルトン_全方向に骨を出して攻撃　手IからK	K from attack hand I put out a bone to c2960_ totem skeleton _ all directions
c2960_トｰテムスケルトン_全ての手を出して大暴れ　手AからD	D from rampage A hand put out the hand of c2960_ totem skeleton _ all
c2960_トｰテムスケルトン_全ての手を出して大暴れ　手EからH	H from rampage hand E put out a hand of c2960_ totem skeleton _ all
c2960_トｰテムスケルトン_全ての手を出して大暴れ　手IからK	K from rampage hand I put out a hand of c2960_ totem skeleton _ all
c3090_大蚊_吸血針を刺す	I stab the c3090_ die casting _ sucking needle
c3090_大蚊_刺突	c3090_ die casting _ piercing
c3090_大蚊_毒血噴出	c3090_ die casting _ blood poisoning jet
c3090_大蚊_吸血投げ	throw c3090_ die casting _ blood-sucking
c3200_うごめく腐肉_落下	carrion _ fall to wriggle c3200_
c3200_うごめく腐肉_骨を突き出す①	① shove carrion _ bone wriggle c3200_
c3200_うごめく腐肉_骨を突き出す②	② shove carrion _ bone wriggle c3200_
c3200_うごめく腐肉_全方向に骨を突き出す①	① protruding bone on carrion _ all directions wriggle c3200_
c3200_うごめく腐肉_全方向に骨を突き出す②	② protruding bone on carrion _ all directions wriggle c3200_
c3200_うごめく腐肉_倒れこみ攻撃	The attack crowded fall carrion _ Nagging c3200_
c3200_うごめく腐肉_ポタポタ落ちる雫	drop falling carrion _ drip-drip Nagging c3200_
c3200_うごめく腐肉_骨を突き出す③	③ shove carrion _ bone wriggle c3200_
c3200_うごめく腐肉_骨を突き出す④	④ shove carrion _ bone wriggle c3200_
ｃ3200_うごめく腐肉_落下投げ	Throw carrion _ fall wriggle c3200_
ｃ3200_うごめく腐肉_覆い被さり投げ	Throw overlays carrion _ covering wriggle c3200_
c3210_たまご背負い_虫で刺す	I stab at insect eggs _ backpack c3210_
c3210_たまご背負い_足を掴む	I grab his leg _ backpack c3210_ eggs
c3210_たまご背負い_寄生虫産卵	spawning parasites _ backpack c3210_ eggs
c3220_寄生虫_口針で刺す	I stab at c3220_ parasite _ mouth needle
c3220_寄生虫_口針で刺す②	The ② stab at c3220_ parasite _ mouth needle
c3220_寄生虫_液体を吐く	I spit c3220_ parasite _ liquid
c3230_カゲロウ龍_魔法の槍	spear of c3230_ ephemera _ magic dragon
c3230_カゲロウ龍_魔法の槍（演出用）	spear of c3230_ ephemera _ magic dragon ( for effect )
c3230_カゲロウ龍_魔法の槍（演出用２）	spear of c3230_ ephemera _ magic dragon ( for effect and 2 )
c3230_カゲロウ龍_魔法の槍（大）	spear of c3230_ ephemera _ magic dragon ( large )
c3230_カゲロウ龍_魔法の槍（特大）	spear of c3230_ ephemera _ magic dragon ( extra large )
c3230_カゲロウ龍_範囲爆発	c3230_ ephemera dragon _ range explosion
c3230_カゲロウ龍_なぎ払いビーム	beam Cleave c3230_ ephemera dragon _
c3230_カゲロウ龍_なぎ払いビーム２	beam 2 Cleave c3230_ ephemera dragon _
c3230_カゲロウ龍_なぎ払いビーム３	beam 3 Cleave c3230_ ephemera dragon _
c3230_カゲロウ龍_なぎ払いビーム４	beam 4 Cleave c3230_ ephemera dragon _
c3240_イザリス_消化液を吐く	I spit c3240_ Izarisu _ digestive juice
c3240_イザリス_打撃１	c3240_ Izarisu _ blow 1
c3240_イザリス_打撃２	c3240_ Izarisu _ blow 2
c3240_イザリス_捕まえる	catch c3240_ Izarisu _
c3240_イザリス_大きな口	big mouth c3240_ Izarisu _
c3240_イザリス_消化液を吐く（遠距離）	spit c3240_ Izarisu _ digestive juice ( long distance )
c3240_イザリス_捕まえて食べる	to eat caught c3240_ Izarisu _
c3240_イザリス_飛び込んだPCを食べる	I eat a PC jumped c3240_ Izarisu _
c3250_イザリス・クイーン_蹴る	kick c3250_ Izarisu Queen _
c3250_イザリス・クイーン_頭突き（1）	c3250_ Izarisu Queen _ head butt ( 1)
c3250_イザリス・クイーン_頭突き（2）	c3250_ Izarisu Queen _ head butt ( 2 )
c3250_イザリス・クイーン_食べる	eat c3250_ Izarisu Queen _
c3250_イザリス・クイーン_頭を振る１（1）	c3250_ Izarisu Queen shakes her head _ 1 ( 1)
c3250_イザリス・クイーン_頭を振る１（2）	c3250_ Izarisu Queen shakes her head _ 1 ( 2 )
c3250_イザリス・クイーン_頭を振る２（1）	c3250_ Izarisu Queen shakes her head _ 2 (1 )
c3250_イザリス・クイーン_頭を振る２（2）	c3250_ Izarisu Queen shakes her head _ 2 ( 2 )
c3250_イザリス・クイーン_すくい上げる（1）	The scoop c3250_ Izarisu _ Queen ( 1)
c3250_イザリス・クイーン_すくい上げる（2）	scoop c3250_ Izarisu Queen _ ( 2 )
c3250_イザリス・クイーン_食べる投げ	Throw eat c3250_ Izarisu Queen _
c3270_バジリスク_石化ブレス	c3270_ Basilisk _ petrified breath
c3270_バジリスク_ジャンプ＆ブレス	c3270_ Basilisk _ jump & breath
×　c3290_王蟲と蚊_噛み付き（前）	× The biting mosquitoes _ and c3290_ parrot (front)
×　c3290_王蟲と蚊_噛み付き（右）	× bite mosquito _ and c3290_ parrot ( right )
×　c3290_王蟲と蚊_噛み付き（左）	× bite mosquito _ and c3290_ parrot ( left )
×　c3290_王蟲と蚊_右に転がって潰す	× crush with rolling mosquito _ and right c3290_ parrot
×　c3290_王蟲と蚊_右に転がるから戻る	× to return to roll in from mosquito _ and right c3290_ parrot
×　c3290_王蟲と蚊_左に転がって潰す	× crush with rolling mosquito _ and left c3290_ parrot
×　c3290_王蟲と蚊_左に転がるから戻る	× to return to roll in from the left and mosquito _ c3290_ parrot
c3320_三人羽織り_魔方陣Ａ	c3320_ three people cape _ A magic square
c3320_三人羽織り_魔方陣Ａ（逆さ）	c3320_ three people _ cape magic square A ( upside down )
c3320_三人羽織り_後ステップ＆魔方陣Ａ	c3320_ three people cape _ rear step & A magic square
c3320_三人羽織り_後ステップ＆魔方陣Ａ（逆さ）	c3320_ three people cape _ rear step & magic square A ( upside down )
c3320_三人羽織り_魔方陣Ｂ_ダメージカプセル１	c3320_ three people to put on magic square _ B_ damage capsule 1
